x,y
218.9097443,340.2058716
209.0877075,339.2093811
201.563385,332.8760681
198.5495453,323.468811
203.6260986,315.4139404
213.0480957,312.2200012
222.0684204,309.4819031
215.3931885,302.0748901
213.6774445,292.4880676
218.2894745,283.8175659
222.1017609,286.6515503
217.9601288,295.3106079
222.6235504,303.7958679
230.0068665,304.3224487
232.9443512,295.1786804
226.8705597,287.4599304
458.7148132,290.7035217
457.6600952,286.3084106
446.9326172,297.177124
453.9632874,296.3615112
446.9624329,303.0336609
449.4422302,311.4017944
453.9936829,306.026947
453.7284241,314.6794739
444.8559875,315.2819519
443.2849731,305.609436
435.5600281,304.8953247
442.8271484,298.7650757
443.2903748,288.8955078
484.7132874,299.9002075
480.5531006,308.9889832
474.4491272,314.8896484
470.9765625,305.6098633
466.060791,296.9664612
473.1802979,300.6199036
478.115387,301.7612915
483.0733643,293.1160889
499.4979248,300.5551758
492.6691284,302.7954102
499.2976074,304.7938843
502.6627502,309.5131836
493.2519226,312.3993835
488.3616333,306.2585754
489.2237244,296.4099121
461.2310791,300.2426147
462.1979675,310.1777039
457.3805847,315.9691467
457.5450134,306.2032776
458.2270813,296.6064453
421.8104858,305.595459
416.3190002,312.3648071
417.6265869,314.1059875
419.9711304,318.5615234
411.3140564,317.244812
409.4303894,307.6052246
412.9758301,298.427002
431.2922058,300.7238464
435.2834473,309.5194702
431.8380127,315.7519226
422.9826965,317.1200562
429.8155212,310.881134
427.1810913,301.5280762
366.9416199,300.6542358
366.9594421,310.5949402
368.9077454,317.3937073
372.7049255,320.3146057
365.4505005,325.9187927
362.2929688,316.8074036
362.5505981,306.8209534
358.5999146,311.9092407
356.3894958,321.6314697
351.1068726,319.2639465
353.8356323,309.6746216
